id,name,age,salary,department,bonus,commission,score,rating,ot_hours,ot_amount
1,David,62,33623,IT,10732,3911.15,82,3.43,22.2,3796
2,Charlie,19,96398,Sales,11345,43826.9,6,1.15,23.9,7990
3,Grace,63,104039,IT,1557,20400.67,35,3.7,29.7,4892
4,Helen,19,52141,Finance,3979,2950.63,95,2.91,20.4,5906
5,Frank,64,26358,Admin,14362,32319.5,41,1.0,5.2,723
6,Bob,42,22136,Finance,13429,31873.37,73,1.55,16.6,6975
7,Alice,41,93065,Finance,3477,11041.94,36,2.08,38.3,1118
8,Grace,19,67096,HR,11119,23876.11,90,4.83,38.6,4865
9,Bob,56,56496,Marketing,7437,33538.42,91,3.18,13.3,700
10,Eva,24,70435,Marketing,13241,49807.1,93,2.77,49.0,1434
11,Charlie,19,80228,Admin,5080,15026.1,9,3.08,43.7,7917
12,Eva,30,27275,Finance,16192,31250.33,35,1.3,22.6,4992
13,Eva,57,103577,Sales,15712,16831.64,46,3.61,2.3,5021
14,Grace,39,34993,HR,1561,23666.39,19,2.29,3.3,2922
15,Helen,62,86990,HR,10828,44889.75,53,3.15,16.2,6218
16,Eva,48,51914,IT,18438,46067.28,70,1.42,17.7,5709
17,Charlie,25,27742,IT,15510,4045.87,65,1.26,49.7,1913
18,Charlie,38,112141,Sales,4054,15105.61,87,3.79,26.9,1698
19,Frank,61,95357,Sales,2698,287.73,31,2.5,16.2,2018
20,Grace,42,49052,Finance,3355,47844.12,13,4.65,15.6,560
21,Frank,55,28388,Sales,14953,41508.91,22,3.32,17.3,5239
22,Grace,26,69162,Admin,16765,12611.71,79,2.63,27.4,2389
23,Grace,52,93123,IT,16867,28593.76,78,4.82,9.6,4184
24,Charlie,31,61040,HR,6030,46424.09,47,4.98,3.4,6319
25,Alice,48,96983,IT,17756,28916.4,3,1.27,7.4,3786
26,David,34,83673,Admin,3722,19203.82,13,4.72,45.2,6050
27,Alice,33,40819,Admin,15651,30984.21,75,3.56,34.6,3117
28,Alice,63,70873,Admin,3340,3514.57,26,3.01,6.1,2082
29,David,22,88929,Finance,10855,29420.8,7,3.98,18.6,7058
30,David,64,64655,Sales,14960,48856.57,88,1.5,23.0,4982
31,Eva,54,118277,Finance,14534,36467.44,76,2.2,38.7,1853
32,Eva,44,100968,IT,16300,9951.58,1,3.66,12.4,6455
33,Helen,44,24166,Sales,7973,12337.55,21,3.56,23.8,5566
34,Bob,53,84968,Sales,4211,36407.93,45,1.29,34.7,1984
35,Charlie,40,64638,Admin,3019,43462.7,43,2.77,8.8,2584
36,Charlie,37,93285,Marketing,14776,22787.35,36,3.04,36.5,7005
37,Eva,53,118007,IT,13610,18852.33,71,2.4,10.9,1344
38,Bob,53,90804,Admin,9261,29257.6,34,1.64,34.4,6616
39,Charlie,51,75009,Admin,12515,33847.34,3,1.25,25.5,1254
40,Frank,27,116106,HR,7589,38282.28,32,3.12,26.6,2097
41,Charlie,22,59242,Sales,10498,33590.06,68,1.54,11.3,6627
42,David,62,50030,Finance,17708,28217.89,9,3.93,42.7,5976
43,Frank,64,81151,Marketing,15182,8682.74,40,1.95,33.7,4593
44,Bob,27,92832,Marketing,3983,222.51,46,1.25,27.7,6045
45,Frank,38,33005,HR,18727,20915.45,59,1.4,3.8,523
46,Helen,46,39888,HR,15559,25326.75,33,3.51,23.7,551
47,Grace,50,119276,Marketing,3926,11082.76,63,1.54,37.6,4740
48,Alice,35,38045,Sales,6251,28495.77,78,3.79,8.6,7809
49,Grace,52,41622,Admin,6647,32450.28,90,4.72,25.3,6738
50,Charlie,61,119122,Admin,3985,15268.53,70,3.36,15.9,4422
51,Helen,42,77911,HR,16482,7391.95,73,3.47,45.0,6545
52,Alice,52,115944,Marketing,2581,24798.01,26,1.79,33.5,5897
53,Helen,41,89838,Sales,17859,10530.89,68,2.78,26.8,5682
54,Frank,21,63612,Marketing,3930,17017.32,95,1.34,45.2,6598
55,Grace,57,60699,Admin,18008,33960.78,63,4.05,29.3,1234
56,Frank,53,64935,Finance,10075,1567.79,13,2.59,18.0,4682
57,Bob,33,40654,HR,19321,17025.81,41,4.55,31.4,7450
58,David,53,66776,Marketing,6853,43124.67,84,3.02,37.1,1968
59,Alice,39,77183,HR,19768,44151.8,20,4.86,49.0,6227
60,Frank,45,71310,IT,13523,27936.46,74,3.59,28.8,1610
61,Alice,55,86264,IT,7499,6417.56,49,2.86,43.6,5240
62,Alice,63,71729,Finance,17986,7042.39,71,4.5,38.5,2348
